"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",""
"STR_MUHZONE_MOD_TOOLTIP","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Erweiterungen","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Extensions","Muhzone.de Server Extensions",
"STR_MUHZONE_MOD_OVERVIEW","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","Diese grandiose Modifikation enthält formidable Anpassungen für den unglaublichen Muhzone.de Server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.","This mod provides formidable modifications for the unbelievable Muhzone.de server.",
"STR_MUHZONE_MOD_AUTHOR","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy","RandomHost, MuhChy",
,,,,,,,,,,,,,,,
"STR_MUHZONE_BOTTLE_MILK_NAME","Muhzone Milk","Muhzone Milk","Muhzone Milk","Muhzone Milch","Muhzone Milk","Muhzone Milk","Muhzone Milk","Muhzone Milk","Muhzone Milk","Muhzone Milk","Muhzone Milk","Muhzone Milk","Muhzone Milk","Muhzone Milk",
"STR_MUHZONE_BOTTLE_MILK_DESCRIPTION","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","Eine normale Plastikflasche, gefüllt mit haltbarer Milch. Das Etikett scheint einen Warnhinweis zu enthalten von dem jedoch nur noch ein einzelnes Wort deutlich lesbar ist: Muh","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo","A plastic bottle, filled with milk. The label contains a warning, of which only a single word is still readable: Moo",
"STR_MUHZONE_LIQUID_TYPE_MILK_NAME","Milk","Milk","Milk","Milch","Milk","Milk","Milk","Milk","Milk","Milk","Milk","Milk","Milk","Milk",
"muhzone_inventory_liquid_type_milk","Milk","Milk","Milk","Milch","Milk","Milk","Milk","Milk","Milk","Milk","Milk","Milk","Milk","Milk",
,,,,,,,,,,,,,,,
"muhzone_notifications_welcome_title","Welcome to the Muhzone","Welcome to the Muhzone","Welcome to the Muhzone","Willkommen in der Muhzone","Welcome to the Muhzone","Welcome to the Muhzone","Welcome to the Muhzone","Welcome to the Muhzone","Welcome to the Muhzone","Welcome to the Muhzone","Welcome to the Muhzone","Welcome to the Muhzone","Welcome to the Muhzone","Welcome to the Muhzone",
"muhzone_notifications_welcome_body","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Beachte bitte unsere Server Regeln auf der [Pause]-Taste. Unseren TeamSpeak Server erreichst du unter muhzone.de oder 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.","Please pay attention to our server rules listed under the [Pause] key. Our TeamSpeak Server can be found at muhzone.de or 1337.",
"muhzone_serverpanel_servername","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Alles andere ist nur Rindfleisch","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef","Muhzone.de - Everything else is just beef",
"muhzone_serverpanel_button1_name","Steam","Steam","Steam","Steam","Steam","Steam","Steam","Steam","Steam","Steam","Steam","Steam","Steam","Steam",
"muhzone_serverpanel_button1_link","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone","https://steamcommunity.com/groups/MuhZone",
"muhzone_serverpanel_button2_name","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak","TeamSpeak",
"muhzone_serverpanel_button2_link","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de","teamspeak://muhzone.de",
"muhzone_serverpanel_button3_name","Website","Website","Website","Website","Website","Website","Website","Website","Website","Website","Website","Website","Website","Website",
"muhzone_serverpanel_button4_link","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/","https://muhzone.de/",
"muhzone_serverpanel_rules","Rules","Rules","Rules","Regeln","Rules","Rules","Rules","Rules","Rules","Rules","Rules","Rules","Rules","Rules",
"muhzone_serverpanel_rules_1","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE","NETIQUETTE",
"muhzone_serverpanel_rules_1_1","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Beleidigungen, Diskriminierungen, Extremismus und Rassismus haben hier nichts verloren.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.","Insults, discrimination, extremism and racism are not welcome here.",
"muhzone_serverpanel_rules_1_2","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provokationen und toxisches Verhalten brauchen wir nicht. Seid nett zu anderen Spielern und eurem Team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.","Provocation and toxic behavior are not tolerated. Be nice towards other players and your team.",
"muhzone_serverpanel_rules_1_3","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Entscheidungen des Server Teams sind zu respektieren, nicht zu diskutieren.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.","Decisions made by the server team are to be respected, not to be discussed.",
"muhzone_serverpanel_rules_2","COMMUNICATION","COMMUNICATION","COMMUNICATION","KOMMUNIKATION","COMMUNICATION","COMMUNICATION","COMMUNICATION","COMMUNICATION","COMMUNICATION","COMMUNICATION","COMMUNICATION","COMMUNICATION","COMMUNICATION","COMMUNICATION",
"muhzone_serverpanel_rules_2_1","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord sind erlaubt.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.","TeamSpeak / Discord are allowed.",
"muhzone_serverpanel_rules_2_2","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Der Missbrauch des Sprachchats (laute Geräusche, Musik, Dauersenden, etc.) ist untersagt.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.","Voice chat abuse (loud noises, music, permanent transmitting, etc.) is prohibited.",
"muhzone_serverpanel_rules_3","BASES","BASES","BASES","BASEN","BASES","BASES","BASES","BASES","BASES","BASES","BASES","BASES","BASES","BASES",
"muhzone_serverpanel_rules_3_1","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Das Bauen im Umkreis von 1000 Metern um die Militärbasis sowie um Händler herum ist untersagt.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.","Building within 1000 meters around military bases and traders is prohibited.",
"muhzone_serverpanel_rules_3_2","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","Die Größe von Basen kann aus Performancegründen vom Server Team begrenzt werden.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.","The size of bases can be limited by the server team for performance reasons.",
"muhzone_serverpanel_rules_3_3","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Bauten dürfen keine Behinderung für andere Überlebende darstellen (z.B. durch Einmauern ganzer Dörfer).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).","Buildings must not pose an obstacle to other players (e.g. by walling in settlements).",
"muhzone_serverpanel_rules_4","SAFE ZONES","SAFE ZONES","SAFE ZONES","SICHERHEITSZONEN","SAFE ZONES","SAFE ZONES","SAFE ZONES","SAFE ZONES","SAFE ZONES","SAFE ZONES","SAFE ZONES","SAFE ZONES","SAFE ZONES","SAFE ZONES",
"muhzone_serverpanel_rules_4_1","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","Im Bereich der Händler bestehen Sicherheitszonen in denen keine Waffen verwendet werden können.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.","There are safe zones around traders in which weapons cannot be used.",
"muhzone_serverpanel_rules_4_2","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Das Umgehen der Sicherheitszonen (Scharfschützengewehre, Granaten, etc.) ist untersagt.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.","Bypassing of safety zones (snipers, grenades, etc.) is prohibited.",
"muhzone_serverpanel_rules_5","BUGS","BUGS","BUGS","SPIELFEHLER","BUGS","BUGS","BUGS","BUGS","BUGS","BUGS","BUGS","BUGS","BUGS","BUGS",
"muhzone_serverpanel_rules_5_1","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Bedingt durch die umwerfende Qualität von DayZ und seinen Modifikationen ist mit Fehlern zu rechnen.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.","Due to the outstanding quality of DayZ and its modifications, bugs are to be expected.",
"muhzone_serverpanel_rules_5_2","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","Das (absichtliche) Herbeiführen oder Ausnutzen von Fehlern ist untersagt.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.","(Purposely) causing or using bugs is prohibited.",
"muhzone_serverpanel_rules_5_3","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Fehler können dem Server Team via TeamSpeak gemeldet werden.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.","Bugs can be reported to the server team via TeamSpeak.",
"muhzone_serverpanel_mods","Modifications","Modifications","Modifications","Modifikationen","Modifications","Modifications","Modifications","Modifications","Modifications","Modifications","Modifications","Modifications","Modifications","Modifications",
"muhzone_serverpanel_mods_intro","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","Auf Muhzone.de nutzen wir die folgenden Modifikationen:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:","We use the following modifications on Muhzone.de:",
"muhzone_serverpanel_support","Bugs / Support","Bugs / Support","Bugs / Support","Fehler / Hilfe","Bugs / Support","Bugs / Support","Bugs / Support","Bugs / Support","Bugs / Support","Bugs / Support","Bugs / Support","Bugs / Support","Bugs / Support","Bugs / Support",
"muhzone_serverpanel_support_1","PREVENTION","PREVENTION","PREVENTION","PRÄVENTION","PREVENTION","PREVENTION","PREVENTION","PREVENTION","PREVENTION","PREVENTION","PREVENTION","PREVENTION","PREVENTION","PREVENTION",
"muhzone_serverpanel_support_1_intro","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Bitte beachtet die folgenden Hinweise um häufig auftretende Probleme zu vermeiden:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:","Please pay attention to the following tips to avoid common issues:",
